Order_ID,Customer Name,Email,Product,Category,Quantity,Unit Price,Total,Order Date,Ship Date,City,Country,Payment Method,Status,Discount%,Region,Discounted_Total
ORD-0001,Megan Taylor,Not Provided,Monitor,Electronics,1.0,-349.99,-349.99,2024-12-09 00:00:00,2024-12-13 00:00:00,Mumbai,Saudi Arabia,Apple Pay,Delivered,0.0,Africa,-349.99
ORD-0002,Sophie Brown,  sophie.brown@email.com  ,Phone Case,Accessories,2.0,19.99,39.98,2024-01-22 00:00:00,2024-01-26 00:00:00,Berlin,Germany,Google Pay,Shipped,0.0,North America,39.98
ORD-0003,Wei Chen,wei.chen@email.com,Tablet,Electronics,9.0,4999.9,44999.1,2024-09-09 00:00:00,2024-09-21 00:00:00,Abu Dhabi,UAE,Cash on Delivery,Cancelled,15.0,Asia,38249.235
ORD-0004,James O'Brien,Not Provided,Smart Watch,Electronic,10.0,249.99,2499.9,2024-04-05 00:00:00,2024-04-11 00:00:00,New York,USA,Google Pay,Returned,0.0,Africa,2499.9
ORD-0005,Ahmed Al-Farsi,ahmed.alfarsi@email.com,Power Bank,Accessories,4.0,39.99,159.96,2024-10-08 00:00:00,2024-10-09 00:00:00,Dammam,Saudi Arabia,Apple Pay,Delivered,5.0,Middle East,151.96200000000002
ORD-0006,Emma Wilson,emma.wilson@email.com,  Power Bank  ,Accessories,2.0,39.99,79.98,2024-01-21 00:00:00,2024-01-30 00:00:00,Riyadh,Saudi Arabia,Goggle Pay,refund,,asia,
ORD-0007,viktor petrov,viktor.petrov@email.com,Tablet,Electronics,10.0,0.0,0.0,2024-10-02 00:00:00,2024-10-12 00:00:00,Dammam,Saudi Arabia,Apple Pay,Returned,15.0,Europe,0.0
ORD-0008,Maria Garcia,maria.garcia@email.com,Power Bank,Accessories,3.0,39.99,119.97,2024-05-10 00:00:00,2024-05-20 00:00:00,Cairo,Egypt,PayPal,Shipped,10.0,Africa,107.973
ORD-0008,Maria Garcia,maria.garcia@email.com,Power Bank,Accessories,3.0,39.99,119.97,10/05/2024,2024-05-20 00:00:00,Cairo,Egypt,PayPal,Shipped,10.0,Africa,107.973
ORD-0009,Viktor Petrov,viktor.petrov@email.com,  HDMI Cable  ,Accessories,-10.0,12.99,-129.9,2024-12-05 00:00:00,2024-12-09 00:00:00,New York,Egypt,Google Pay,Shipped,20.0,Middle East,-103.92
ORD-0010,Alex Johnson,alex.johnson@email.com,Wireless Mouse,Electronics,,29.99,,2024-10-14 00:00:00,2024-10-20 00:00:00,Paris,France,Cash on Delivery,Returned,0.0,North America,
ORD-0011,Omar Nasser,omar.nasser@email.com,HDMI Cable,Accessories,10.0,12.99,129.9,2024-10-21 00:00:00,2024-10-27 00:00:00,Doha,Qatar,Bank Transfer,Pending,5.0,Africa,123.405
ORD-0011,Omar Nasser,omar.nasser@email.com,HDMI Cable,Accessories,10.0,12.99,129.9,2024-10-21 00:00:00,2024-10-27 00:00:00,Doha,Qatar,Bank Transfer,pending,5.0,Africa,123.405
ORD-0012,Chen Wei,chen.wei@email.com,Smart Watch,Electronics,8.0,249.99,1999.92,2024-01-18 00:00:00,2024-01-22 00:00:00,Dubai,UAE,Debit Card,Refunded,25.0,Oceania,1499.94
ORD-0013,Emma Wilson,Not Provided,HDMI Cable,Accessories,1.0,12.99,12.99,2024-04-27 00:00:00,2024-05-04 00:00:00,Sydney,Australia,Cash on Delivery,Pending,0.0,Africa,12.99
ORD-0013,Emma Wilson,Not Provided,  HDMI Cable  ,Accessories,1.0,12.99,12.99,2024-04-27 00:00:00,2024-05-04 00:00:00,Sydney,Japan,Cash on Delivery,Pending,0.0,Africa,12.99
ORD-0014,Nora Ali,Not Provided,Speaker,Electronics,5.0,89.99,449.95,2024-07-09 00:00:00,2024-07-23 00:00:00,Dammam,Saudi Arabia,Credit Card,Pending,0.0,Europe,449.95
ORD-0015,Chen Wei,chen.wei@email.com,  Charger  ,Accessories,10.0,24.99,249.89999999999998,2024-02-26 00:00:00,2024-03-07 00:00:00,Jeddah,Saudi Arabia,Cash on Delivery,Cancelled,200.0,Middle East,-249.89999999999998
ORD-0016,Nora Ali,nora.ali@email.com,Webcam,Electronics,10.0,79.99,799.9,2024-12-09 00:00:00,2024-12-18 00:00:00,Riyadh,Saudi Arabia,Debit Card,Delivered,5.0,Africa,759.905
ORD-0017,Unknown,Not Provided,Phone Case,Accessories,5.0,19.99,99.94999999999999,04-12-2024,2024-04-15 00:00:00,Berlin,Germany,Apple Pay,Returned,0.0,Europe,99.94999999999999
ORD-0018,Yuki Tanaka,yuki.tanaka@email.com,HDMI Cable,Accessories,5.0,12.99,64.95,2024-10-20 00:00:00,2024-10-21 00:00:00,Sharjah,UAE,Credit Card,Refunded,,Oceania,
ORD-0019,CHEN WEI,chen.wei@email.com,Charger,Accessories,,24.99,,2024-05-17 00:00:00,2024-05-26 00:00:00,Muscat,Oman,Credit Card,Returned,0.0,North America,
ORD-0020,JOHN SMITH,john.smith@email.com,Printer,Elec.,,199.99,,2024-06-04 00:00:00,2024-06-17 00:00:00,Sydney,Australia,Cash on Delivery,Refunded,0.0,Oceania,
ORD-0021,Priya Sharma,priya.sharma@email.com,External SSD,Electronics,9.0,129.99,1169.91,2024-03-13 00:00:00,2024-03-17 00:00:00,Sharjah,UAE,Apple Pay,Shipped,,Europe,
ORD-0022,Sara Khan,Not Provided,Keyboard,Accessories,9.0,59.99,539.91,2024-10-11 00:00:00,2024-10-25 00:00:00,Dubai,UAE,Google Pay,Cancelled,0.0,Africa,539.91
ORD-0023,Ahmed Al-Farsi,ahmed.alfarsi@email.com,Wireless Mouse,Electronics,6.0,29.99,179.94,2024-01-10 00:00:00,2024-01-16 00:00:00,Toronto,Canada,Debit Card,Shipped,20.0,Africa,143.952
ORD-0024,Ahmed Al-Farsi,ahmed.alfarsi@email.com,Speaker,Electronics,5.0,89.99,449.95,2024-01-19 00:00:00,2024-02-02 00:00:00,Jeddah,Saudi Arabia,Apple Pay,Cancelled,10.0,Asia,404.955
