Order_ID,Customer Name,Email,Product,Category,Quantity,Unit Price,Total,Order Date,Ship Date,City,Country,Payment Method,Status,Discount%,Region,Discounted_Total
ORD-0003,Wei Chen,wei.chen@email.com,tablet,electronics,9.0,4999.9,44999.1,2024-09-09,2024-09-21 00:00:00,Abu Dhabi,UAE,Cash on Delivery,Cancelled,15.0,Asia,38249.235
ORD-0005,Ahmed Al-Farsi,ahmed.alfarsi@email.com,power bank,accessories,4.0,39.99,159.96,2024-10-08,2024-10-09 00:00:00,Dammam,Saudi Arabia,Apple Pay,Delivered,5.0,Middle East,151.96200000000002
ORD-0008,Maria Garcia,maria.garcia@email.com,power bank,accessories,3.0,39.99,119.97,2024-05-10,2024-05-20 00:00:00,Cairo,Egypt,PayPal,Shipped,10.0,Africa,107.973
ORD-0008,Maria Garcia,maria.garcia@email.com,power bank,accessories,3.0,39.99,119.97,2024-10-05,2024-05-20 00:00:00,Cairo,Egypt,PayPal,Shipped,10.0,Africa,107.973
ORD-0011,Omar Nasser,omar.nasser@email.com,hdmi cable,accessories,10.0,12.99,129.9,2024-10-21,2024-10-27 00:00:00,Doha,Qatar,Bank Transfer,Pending,5.0,Africa,123.405
ORD-0011,Omar Nasser,omar.nasser@email.com,hdmi cable,accessories,10.0,12.99,129.9,2024-10-21,2024-10-27 00:00:00,Doha,Qatar,Bank Transfer,pending,5.0,Africa,123.405
ORD-0012,Chen Wei,chen.wei@email.com,smart watch,electronics,8.0,249.99,1999.92,2024-01-18,2024-01-22 00:00:00,Dubai,UAE,Debit Card,Refunded,25.0,Oceania,1499.94
ORD-0015,Chen Wei,chen.wei@email.com,charger,accessories,10.0,24.99,249.89999999999998,2024-02-26,2024-03-07 00:00:00,Jeddah,Saudi Arabia,Cash on Delivery,Cancelled,200.0,Middle East,-249.89999999999998
ORD-0016,Nora Ali,nora.ali@email.com,webcam,electronics,10.0,79.99,799.9,2024-12-09,2024-12-18 00:00:00,Riyadh,Saudi Arabia,Debit Card,Delivered,5.0,Africa,759.905
ORD-0023,Ahmed Al-Farsi,ahmed.alfarsi@email.com,wireless mouse,electronics,6.0,29.99,179.94,2024-01-10,2024-01-16 00:00:00,Toronto,Canada,Debit Card,Shipped,20.0,Africa,143.952
ORD-0024,Ahmed Al-Farsi,ahmed.alfarsi@email.com,speaker,electronics,5.0,89.99,449.95,2024-01-19,2024-02-02 00:00:00,Jeddah,Saudi Arabia,Apple Pay,Cancelled,10.0,Asia,404.955
ORD-0025,Maria Garcia,Not Provided,external ssd,electronics,2.0,129.99,259.98,2024-03-25,2024-03-29 00:00:00,Sydney,Australia,Google Pay,Returned,15.0,Middle East,220.983
ORD-0028,Alex Johnson,alex.johnson@email.com,power bank,accessories,6.0,39.99,239.94,2024-07-20,2024-07-29 00:00:00,Berlin,germany,Cash on Delivery,Returned,20.0,Middle East,191.952
ORD-0031,David Lee,david.lee@email.com,usb cable,accessories,7.0,9.99,69.93,2024-12-02,2024-12-09 00:00:00,Riyadh,Saudi Arabia,Credit Card,Refunded,15.0,Africa,59.44050000000001
ORD-0032,FATIMA HASSAN,fatima.hassan@email.com,keyboard,accessories,2.0,59.99,119.98,2024-03-25,2024-04-05 00:00:00,Muscat,Oman,Google Pay,Returned,25.0,Oceania,89.985
ORD-0034,James O'Brien,james.obrien@email.com,keyboard,accessories,9.0,59.99,539.91,2024-02-21,2024-03-03 00:00:00,Singapore,Singapore,PayPal,Delivered,15.0,Europe,458.9235
ORD-0035,Anna Müller,anna.müller@email.com,stylus pen,accessories,4.0,34.99,139.96,2024-06-22,2024-07-02 00:00:00,Doha,Qatar,Google Pay,Processing,150.0,Africa,-69.97999999999999
ORD-0036,Unknown,Not Provided,wireless mouse,electronics,5.0,29.99,149.95,2024-08-23,2024-08-18 00:00:00,London,UK,Apple Pay,Cancelled,25.0,Africa,112.46249999999999
ORD-0037,Unknown,lina.mansour@email.com,power bank,accessories,1.0,39.99,39.99,2024-07-28,2024-08-05 00:00:00,Jeddah,Saudi Arabia,Bank Transfer,Processing,10.0,Oceania,35.991
ORD-0038,David Lee,david.lee@email.com,wireless mouse,electronics,6.0,29.99,179.94,2024-05-04,2024-05-17 00:00:00,Toronto,Canada,Bank Transfer,Pending,25.0,North America,134.95499999999998
ORD-0039,Fatima Hassan,fatima.hassan@email.com,laptop,electronics,3.0,899.99,2699.9700000000003,2024-10-22,2024-11-04 00:00:00,Doha,Qatar,Debit Card,Delivered,5.0,Oceania,2564.9715
ORD-0043,John Smith,john.smith@email.com,speaker,electronics,9.0,89.99,809.91,2024-08-08,2024-08-12 00:00:00,Abu Dhabi,Saudi Arabia,Credit Card,Delivered,10.0,North America,728.919
